equipment_id,date,operating_hours,idle_hours,total_engine_hours,total_idle_hours,fuel_consumed_liters
CAT-EQ-1001,2026-07-04,7.9,1.9,1456.9,91.9,114.7
CAT-EQ-1001,2026-07-05,6.5,1.1,1463.4,93.0,111.9
CAT-EQ-1001,2026-07-06,8.2,0.8,1471.6,93.8,119.2
CAT-EQ-1001,2026-07-07,5.5,0.9,1477.1,94.7,91.2
CAT-EQ-1001,2026-07-08,4.6,1.3,1481.7,96.0,65.1
CAT-EQ-1001,2026-07-09,5.9,1.0,1487.6,97.0,72.3
CAT-EQ-1001,2026-07-10,6.5,0.7,1494.1,97.7,114.0
CAT-EQ-1001,2026-07-11,4.4,1.1,1498.5,98.8,69.4
CAT-EQ-1001,2026-07-12,8.9,1.2,1507.4,100.0,117.1
CAT-EQ-1001,2026-07-13,4.4,1.8,1511.8,101.8,73.2
CAT-EQ-1001,2026-07-14,9.4,2.2,1521.2,104.0,161.7
CAT-EQ-1001,2026-07-15,6.1,1.4,1527.3,105.4,103.7
CAT-EQ-1001,2026-07-16,4.9,1.2,1532.2,106.6,78.5
CAT-EQ-1001,2026-07-17,7.9,1.9,1540.1,108.5,98.2
CAT-EQ-1001,2026-07-18,7.5,1.6,1547.6,110.1,101.0
CAT-EQ-1001,2026-07-19,6.5,1.0,1554.1,111.1,114.1
CAT-EQ-1001,2026-07-20,7.8,0.9,1561.9,112.0,108.8
CAT-EQ-1001,2026-07-21,8.2,0.6,1570.1,112.6,138.8
CAT-EQ-1001,2026-07-22,8.4,1.3,1578.5,113.9,104.1
CAT-EQ-1001,2026-07-23,9.0,1.6,1587.5,115.5,146.8
CAT-EQ-1001,2026-07-24,5.2,1.5,1592.7,117.0,90.0
CAT-EQ-1001,2026-07-25,7.5,0.8,1600.2,117.8,96.3
CAT-EQ-1001,2026-07-26,8.1,1.6,1608.3,119.4,133.5
CAT-EQ-1001,2026-07-27,6.4,1.7,1614.7,121.1,90.7
CAT-EQ-1001,2026-07-28,9.5,0.8,1624.2,121.9,142.1
CAT-EQ-1001,2026-07-29,8.2,2.2,1632.4,124.1,105.9
CAT-EQ-1001,2026-07-30,4.9,1.9,1637.3,126.0,76.3
CAT-EQ-1001,2026-07-31,6.1,1.7,1643.4,127.7,90.3
CAT-EQ-1001,2026-08-01,5.4,1.6,1648.8,129.3,95.3
CAT-EQ-1001,2026-08-02,7.7,0.7,1656.5,130.0,133.3
CAT-EQ-1001,2026-08-03,8.1,2.0,1664.6,132.0,113.7
CAT-EQ-1001,2026-08-04,5.6,0.8,1670.2,132.8,67.3
CAT-EQ-1001,2026-08-05,8.0,1.9,1678.2,134.7,142.7
CAT-EQ-1001,2026-08-06,8.2,1.5,1686.4,136.2,103.6
CAT-EQ-1001,2026-08-07,7.4,2.2,1693.8,138.4,111.3
CAT-EQ-1001,2026-08-08,5.1,1.2,1698.9,139.6,66.1
CAT-EQ-1001,2026-08-09,9.2,2.3,1708.1,141.9,161.1
CAT-EQ-1001,2026-08-10,7.3,1.5,1715.4,143.4,92.5
CAT-EQ-1001,2026-08-11,6.0,2.5,1721.4,145.9,101.0
CAT-EQ-1001,2026-08-12,5.3,1.0,1726.7,146.9,81.6
CAT-EQ-1001,2026-08-13,4.4,2.0,1731.1,148.9,74.3
CAT-EQ-1001,2026-08-14,9.4,1.6,1740.5,150.5,119.9
CAT-EQ-1001,2026-08-15,7.6,2.4,1748.1,152.9,98.7
CAT-EQ-1001,2026-08-16,6.9,1.7,1755.0,154.6,122.7
CAT-EQ-1001,2026-08-17,9.1,2.0,1764.1,156.6,146.9
CAT-EQ-1001,2026-08-18,7.9,1.3,1772.0,157.9,126.6
CAT-EQ-1001,2026-08-19,6.1,2.3,1778.1,160.2,89.7
CAT-EQ-1001,2026-08-20,5.4,0.6,1783.5,160.8,65.5
CAT-EQ-1001,2026-08-21,7.0,1.7,1790.5,162.5,84.3
CAT-EQ-1001,2026-08-22,7.9,0.6,1798.4,163.1,98.0
CAT-EQ-1001,2026-08-23,4.2,1.2,1802.6,164.3,63.4
CAT-EQ-1001,2026-08-24,5.5,1.5,1808.1,165.8,83.8
CAT-EQ-1001,2026-08-25,8.0,2.3,1816.1,168.1,123.7
CAT-EQ-1001,2026-08-26,5.3,1.4,1821.4,169.5,76.5
CAT-EQ-1001,2026-08-27,4.5,1.8,1825.9,171.3,63.6
CAT-EQ-1001,2026-08-28,6.3,2.2,1832.2,173.5,77.6
CAT-EQ-1001,2026-08-29,7.6,1.8,1839.8,175.3,94.0
CAT-EQ-1001,2026-08-30,8.0,2.1,1847.8,177.4,101.2
CAT-EQ-1001,2026-08-31,5.1,1.6,1852.9,179.0,65.5
CAT-EQ-1001,2026-09-01,5.0,1.4,1857.9,180.4,86.2
CAT-EQ-1002,2026-07-04,8.4,2.2,462.4,155.2,105.7
CAT-EQ-1002,2026-07-05,7.6,1.6,470.0,156.8,91.9
CAT-EQ-1002,2026-07-06,4.5,2.0,474.5,158.8,60.4
CAT-EQ-1002,2026-07-07,6.2,1.5,480.7,160.3,106.6
CAT-EQ-1002,2026-07-08,9.0,0.8,489.7,161.1,108.1
CAT-EQ-1002,2026-07-09,6.1,2.4,495.8,163.5,101.9
CAT-EQ-1002,2026-07-10,5.6,1.9,501.4,165.4,91.7
CAT-EQ-1002,2026-07-11,8.3,1.8,509.7,167.2,123.8
CAT-EQ-1002,2026-07-12,5.0,0.9,514.7,168.1,61.8
CAT-EQ-1002,2026-07-13,8.0,0.6,522.7,168.7,111.1
CAT-EQ-1002,2026-07-14,4.3,1.5,527.0,170.2,75.3
CAT-EQ-1002,2026-07-15,6.9,0.6,533.9,170.8,103.8
CAT-EQ-1002,2026-07-16,8.7,0.6,542.6,171.4,107.9
CAT-EQ-1002,2026-07-17,8.7,1.3,551.3,172.7,153.6
CAT-EQ-1002,2026-07-18,7.1,1.7,558.4,174.4,86.9
CAT-EQ-1002,2026-07-19,4.5,1.8,562.9,176.2,69.3
CAT-EQ-1002,2026-07-20,5.7,1.0,568.6,177.2,91.3
CAT-EQ-1002,2026-07-21,5.7,1.0,574.3,178.2,72.9
CAT-EQ-1002,2026-07-22,7.6,1.4,581.9,179.6,133.6
CAT-EQ-1002,2026-07-23,9.1,0.5,591.0,180.1,143.1
CAT-EQ-1002,2026-07-24,7.1,0.7,598.1,180.8,108.1
CAT-EQ-1002,2026-07-25,6.8,0.8,604.9,181.6,95.8
CAT-EQ-1002,2026-07-26,4.4,1.0,609.3,182.6,60.3
CAT-EQ-1002,2026-07-27,6.4,1.6,615.7,184.2,88.4
CAT-EQ-1002,2026-07-28,9.4,2.1,625.1,186.3,142.6
CAT-EQ-1002,2026-07-29,7.7,1.6,632.8,187.9,135.4
CAT-EQ-1002,2026-07-30,4.6,2.3,637.4,190.2,62.5
CAT-EQ-1002,2026-07-31,8.9,2.0,646.3,192.2,115.1
CAT-EQ-1002,2026-08-01,5.5,0.9,651.8,193.1,77.3
CAT-EQ-1002,2026-08-02,7.8,2.2,659.6,195.3,117.3
CAT-EQ-1002,2026-08-03,5.4,2.3,665.0,197.6,66.4
CAT-EQ-1002,2026-08-04,7.5,2.2,672.5,199.8,92.0
CAT-EQ-1002,2026-08-05,5.8,0.8,678.3,200.6,103.7
CAT-EQ-1002,2026-08-06,4.9,1.4,683.2,202.0,79.5
CAT-EQ-1002,2026-08-07,7.1,0.7,690.3,202.7,125.5
CAT-EQ-1002,2026-08-08,7.8,0.8,698.1,203.5,95.3
CAT-EQ-1002,2026-08-09,6.0,1.6,704.1,205.1,87.5
CAT-EQ-1002,2026-08-10,4.2,1.2,708.3,206.3,73.9
CAT-EQ-1002,2026-08-11,9.3,0.6,717.6,206.9,131.6
