rental_reference,equipment_id,equipment_type,site_code,checkout_at,due_at,status
CAT-RNT-10001,CAT-EQ-1001,EXCAVATOR,S-CAT-BLR01,2026-07-19 11:26:34,2026-08-01 11:26:34,COMPLETED
CAT-RNT-10002,CAT-EQ-1002,EXCAVATOR,S-CAT-HYD02,2026-08-27 11:26:34,2026-09-14 11:26:34,ACTIVE
CAT-RNT-10003,CAT-EQ-1003,BULLDOZER,S-CAT-MUM03,2026-08-13 11:26:34,2026-08-30 11:26:34,COMPLETED
CAT-RNT-10004,CAT-EQ-1004,BULLDOZER,S-CAT-KOL04,2026-08-20 11:26:34,2026-09-02 11:26:34,COMPLETED
CAT-RNT-10005,CAT-EQ-1005,WHEEL_LOADER,S-CAT-DEL05,2026-07-25 11:26:34,2026-08-06 11:26:34,COMPLETED
CAT-RNT-10006,CAT-EQ-1006,WHEEL_LOADER,S-CAT-BLR01,2026-07-22 11:26:34,2026-08-14 11:26:34,COMPLETED
CAT-RNT-10007,CAT-EQ-1007,DUMP_TRUCK,S-CAT-HYD02,2026-08-26 11:26:34,2026-09-05 11:26:34,ACTIVE
CAT-RNT-10008,CAT-EQ-1008,DUMP_TRUCK,S-CAT-MUM03,2026-08-23 11:26:34,2026-09-08 11:26:34,ACTIVE
CAT-RNT-10009,CAT-EQ-1009,COMPACTOR,S-CAT-KOL04,2026-08-14 11:26:34,2026-09-09 11:26:34,ACTIVE
CAT-RNT-10010,CAT-EQ-1010,CRANE,S-CAT-DEL05,2026-07-21 11:26:34,2026-07-31 11:26:34,COMPLETED
