rental_reference,equipment_id,equipment_type,site_code,checkout_at,due_at,status
CAT-RNT-10001,CAT-EQ-1001,EXCAVATOR,S-CAT-BLR01,2026-07-19 13:47:16,2026-08-01 13:47:16,COMPLETED
CAT-RNT-10002,CAT-EQ-1002,EXCAVATOR,S-CAT-HYD02,2026-08-27 13:47:16,2026-09-14 13:47:16,ACTIVE
CAT-RNT-10003,CAT-EQ-1003,BULLDOZER,S-CAT-MUM03,2026-08-13 13:47:16,2026-08-30 13:47:16,COMPLETED
CAT-RNT-10004,CAT-EQ-1004,BULLDOZER,S-CAT-KOL04,2026-08-20 13:47:16,2026-09-02 13:47:16,COMPLETED
CAT-RNT-10005,CAT-EQ-1005,WHEEL_LOADER,S-CAT-DEL05,2026-07-25 13:47:16,2026-08-06 13:47:16,COMPLETED
CAT-RNT-10006,CAT-EQ-1006,WHEEL_LOADER,S-CAT-BLR01,2026-07-22 13:47:16,2026-08-14 13:47:16,COMPLETED
CAT-RNT-10007,CAT-EQ-1007,DUMP_TRUCK,S-CAT-HYD02,2026-08-26 13:47:16,2026-09-05 13:47:16,ACTIVE
CAT-RNT-10008,CAT-EQ-1008,DUMP_TRUCK,S-CAT-MUM03,2026-08-23 13:47:16,2026-09-08 13:47:16,ACTIVE
CAT-RNT-10009,CAT-EQ-1009,COMPACTOR,S-CAT-KOL04,2026-08-14 13:47:16,2026-09-09 13:47:16,ACTIVE
CAT-RNT-10010,CAT-EQ-1010,CRANE,S-CAT-DEL05,2026-07-21 13:47:16,2026-07-31 13:47:16,COMPLETED
