equipment_id,timestamp,latitude,longitude,engine_hours,idle_hours,fuel_level,speed
CAT-EQ-1001,2026-08-19T13:47:16Z,12.972641,77.595878,957.5,50.3,93.3,0.0
CAT-EQ-1001,2026-08-19T14:47:16Z,12.972635,77.596286,957.5,50.5,91.3,0.0
CAT-EQ-1001,2026-08-19T15:47:16Z,12.971455,77.594414,957.5,50.7,90.4,0.0
CAT-EQ-1001,2026-08-19T16:47:16Z,12.971477,77.593219,957.5,50.9,89.6,0.0
CAT-EQ-1001,2026-08-19T17:47:16Z,12.971566,77.596303,957.5,51.1,87.9,0.0
CAT-EQ-1001,2026-08-19T18:47:16Z,12.972164,77.594953,957.5,51.3,86.6,0.0
CAT-EQ-1001,2026-08-19T19:47:16Z,12.971862,77.593377,957.5,51.5,85.4,0.0
CAT-EQ-1001,2026-08-19T20:47:16Z,12.971554,77.595354,958.3,51.5,84.0,11.4
CAT-EQ-1001,2026-08-19T21:47:16Z,12.969738,77.595853,959.1,51.5,83.1,21.3
CAT-EQ-1001,2026-08-19T22:47:16Z,12.971422,77.595324,959.9,51.5,82.2,21.9
CAT-EQ-1001,2026-08-19T23:47:16Z,12.972684,77.595178,960.7,51.5,81.7,20.1
CAT-EQ-1001,2026-08-20T00:47:16Z,12.970355,77.594292,961.5,51.5,80.3,14.9
CAT-EQ-1001,2026-08-20T01:47:16Z,12.971131,77.593832,962.3,51.5,78.7,11.3
CAT-EQ-1001,2026-08-20T02:47:16Z,12.972707,77.593978,963.1,51.5,77.1,26.9
CAT-EQ-1001,2026-08-20T03:47:16Z,12.973548,77.595866,963.9,51.5,76.1,23.7
CAT-EQ-1001,2026-08-20T04:47:16Z,12.972532,77.593283,964.7,51.5,74.4,6.7
CAT-EQ-1001,2026-08-20T05:47:16Z,12.971403,77.595857,965.5,51.5,72.3,22.6
CAT-EQ-1001,2026-08-20T06:47:16Z,12.973209,77.594235,966.3,51.5,71.4,6.5
